,start,end,duration,round_epochs,loss,accuracy,f1score,val_loss,val_accuracy,val_f1score,lr,first_dropout,first_neuron,first_activation,kernel_initializer,second_neuron,second_activation,second_dropout,last_activation,optimizer,losses,batch_size,epochs
548,08/08/23-130933,08/08/23-130939,6.650344610214233,100,4.937356472015381,0.6443203091621399,0.16166053712368011,5.334210395812988,0.6363636255264282,0.05952379107475281,0.5,0.2,24,relu,normal,36,relu,0.4,tanh,Adam,binary_crossentropy,200,20
549,08/08/23-130940,08/08/23-130946,6.2145302295684814,100,3.852970600128174,0.6294227242469788,0.34570586681365967,3.5924525260925293,0.6450216174125671,0.3492063283920288,0.5,0.2,24,relu,normal,36,relu,0.4,tanh,Adam,binary_crossentropy,400,20
550,08/08/23-130946,08/08/23-130953,7.046376466751099,100,0.8411821126937866,0.6890130639076233,0.3678750991821289,0.6907316446304321,0.6839826703071594,0.3484645485877991,0.5,0.2,24,relu,normal,36,relu,0.4,tanh,Nadam,binary_crossentropy,200,20
551,08/08/23-130953,08/08/23-131000,6.755755186080933,100,5.266136646270752,0.6554934978485107,0.02380952052772045,5.609072208404541,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,relu,0.4,tanh,Nadam,binary_crossentropy,400,20
552,08/08/23-131000,08/08/23-131007,6.55249810218811,100,0.5807105898857117,0.7039105892181396,0.4463863670825958,0.585174024105072,0.709956705570221,0.45833325386047363,0.5,0.2,24,relu,normal,36,elu,0.0,sigmoid,Adam,binary_crossentropy,200,20
553,08/08/23-131007,08/08/23-131013,6.201676845550537,100,0.6351991295814514,0.6666666865348816,0.3857085704803467,0.6316332221031189,0.6839826703071594,0.474820077419281,0.5,0.2,24,relu,normal,36,elu,0.0,sigmoid,Adam,binary_crossentropy,400,20
554,08/08/23-131014,08/08/23-131020,6.9830217361450195,100,0.5634129047393799,0.7113593816757202,0.4993067681789398,0.5815163254737854,0.7142857313156128,0.4055689573287964,0.5,0.2,24,relu,normal,36,elu,0.0,sigmoid,Nadam,binary_crossentropy,200,20
555,08/08/23-131021,08/08/23-131027,6.668776273727417,100,0.5782979726791382,0.7281191945075989,0.5039743185043335,0.5920190215110779,0.701298713684082,0.5369126796722412,0.5,0.2,24,relu,normal,36,elu,0.0,sigmoid,Nadam,binary_crossentropy,400,20
556,08/08/23-131028,08/08/23-131034,6.719544887542725,100,2.9760732650756836,0.6480447053909302,0.3906393349170685,2.7608418464660645,0.6623376607894897,0.3771929144859314,0.5,0.2,24,relu,normal,36,elu,0.0,tanh,Adam,binary_crossentropy,200,20
557,08/08/23-131035,08/08/23-131041,6.2779481410980225,100,4.050826072692871,0.6275604963302612,0.36104726791381836,4.406500816345215,0.6536796689033508,0.27272725105285645,0.5,0.2,24,relu,normal,36,elu,0.0,tanh,Adam,binary_crossentropy,400,20
